,experiment,response time (ms),Subject,block,sortCol,typeOrder
125,800 ms ,201.23648,2,2,e,True
126,800 ms ,258.2528,2,2,e,True
127,800 ms ,246.53824,2,2,e,True
128,800 ms ,264.23296,2,2,e,True
129,800 ms ,225.28,2,2,e,True
130,800 ms ,244.81792,2,2,e,True
131,800 ms ,281.3952,2,2,e,True
132,800 ms ,226.18112000000002,2,2,e,True
133,800 ms ,266.07616,2,2,e,True
134,800 ms ,264.84736,2,2,e,True
135,800 ms ,214.13888,2,2,e,True
136,800 ms ,219.70944,2,2,e,True
137,800 ms ,287.78495999999996,2,2,e,True
138,800 ms ,288.76800000000003,2,2,e,True
139,800 ms ,315.55584,2,2,e,True
1,touch,506.6751999999999,3,1,a,False
2,touch,476.6515200000001,3,1,a,False
4,touch,299.78623999999996,3,1,a,False
5,touch,154.95167999999993,3,1,a,False
7,touch,151.01951999999997,3,1,a,False
8,touch,173.75231999999997,3,1,a,False
9,touch,175.88223999999997,3,1,a,False
12,touch,171.58144,3,1,a,False
13,touch,196.15744000000012,3,1,a,False
14,touch,165.80607999999987,3,1,a,False
15,touch,369.2134399999999,3,1,a,False
16,touch,162.40639999999996,3,1,a,False
17,touch,165.84704000000005,3,1,a,False
19,touch,461.45536,3,1,a,False
0,touch,464.15872000000013,3,2,a,False
1,touch,299.1718400000001,3,2,a,False
3,touch,235.23327999999987,3,2,a,False
4,touch,357.8265599999999,3,2,a,False
5,touch,257.3516800000002,3,2,a,False
6,touch,316.9484800000002,3,2,a,False
8,touch,151.63391999999988,3,2,a,False
10,touch,171.08992,3,2,a,False
12,touch,318.62784,3,2,a,False
13,touch,202.0556800000002,3,2,a,False
14,touch,160.64512000000008,3,2,a,False
15,touch,256.12287999999995,3,2,a,False
16,touch,220.36480000000003,3,2,a,False
17,touch,223.10912000000005,3,2,a,False
18,touch,167.69024,3,2,a,False
19,touch,321.2902399999999,3,2,a,False
60,100 ms ,514.41664,3,2,b,True
83,200 ms ,408.61695999999995,3,1,c,True
88,200 ms ,465.22367999999994,3,1,c,True
92,200 ms ,494.46912,3,1,c,True
94,200 ms ,540.59008,3,1,c,True
97,200 ms ,552.50944,3,1,c,True
80,200 ms ,441.79456,3,2,c,True
87,200 ms ,440.9344,3,2,c,True
88,200 ms ,408.45312,3,2,c,True
97,200 ms ,403.29216,3,2,c,True
100,400 ms ,586.38336,3,1,d,True
101,400 ms ,684.4825599999999,3,1,d,True
102,400 ms ,442.16319999999996,3,1,d,True
103,400 ms ,589.6192,3,1,d,True
106,400 ms ,695.82848,3,1,d,True
108,400 ms ,502.62016,3,1,d,True
110,400 ms ,525.55776,3,1,d,True
111,400 ms ,605.10208,3,1,d,True
112,400 ms ,519.24992,3,1,d,True
113,400 ms ,432.20992,3,1,d,True
115,400 ms ,485.00736,3,1,d,True
116,400 ms ,598.50752,3,1,d,True
117,400 ms ,491.76576,3,1,d,True
118,400 ms ,630.86592,3,1,d,True
119,400 ms ,705.3312000000001,3,1,d,True
100,400 ms ,455.31136,3,2,d,True
102,400 ms ,511.0579200000001,3,2,d,True
103,400 ms ,389.85727999999995,3,2,d,True
104,400 ms ,487.50592,3,2,d,True
105,400 ms ,416.3584,3,2,d,True
108,400 ms ,746.9055999999999,3,2,d,True
109,400 ms ,538.50112,3,2,d,True
110,400 ms ,455.22944,3,2,d,True
115,400 ms ,382.5664,3,2,d,True
116,400 ms ,694.59968,3,2,d,True
119,400 ms ,450.31424,3,2,d,True
