,experiment,response time (ms),Subject,block,sortCol,typeOrder
119,400 ms ,214.26176,2,1,d,0
100,400 ms ,210.98496,2,2,d,0
101,400 ms ,256.36863999999997,2,2,d,0
102,400 ms ,236.87168,2,2,d,0
103,400 ms ,270.58176000000003,2,2,d,0
104,400 ms ,274.39104,2,2,d,0
105,400 ms ,296.01792,2,2,d,0
106,400 ms ,293.23264,2,2,d,0
107,400 ms ,264.64256,2,2,d,0
108,400 ms ,251.45343999999997,2,2,d,0
109,400 ms ,247.02975999999998,2,2,d,0
110,400 ms ,225.32095999999999,2,2,d,0
111,400 ms ,265.87136,2,2,d,0
112,400 ms ,349.5936,2,2,d,0
113,400 ms ,287.82592,2,2,d,0
114,400 ms ,314.90047999999996,2,2,d,0
115,400 ms ,240.10752,2,2,d,0
116,400 ms ,281.31328,2,2,d,0
117,400 ms ,355.20511999999997,2,2,d,0
118,400 ms ,250.63424,2,2,d,0
119,400 ms ,248.0128,2,2,d,0
120,800 ms ,318.6688,2,1,e,0
121,800 ms ,403.98848,2,1,e,0
122,800 ms ,198.41024,2,1,e,0
123,800 ms ,295.60832,2,1,e,0
124,800 ms ,218.15296,2,1,e,0
125,800 ms ,179.97824,2,1,e,0
126,800 ms ,489.2672,2,1,e,0
127,800 ms ,297.90208,2,1,e,0
128,800 ms ,241.29536,2,1,e,0
129,800 ms ,316.74368000000004,2,1,e,0
130,800 ms ,271.1552,2,1,e,0
131,800 ms ,291.59424,2,1,e,0
132,800 ms ,211.31264,2,1,e,0
133,800 ms ,263.33184,2,1,e,0
134,800 ms ,253.91103999999999,2,1,e,0
135,800 ms ,272.17920000000004,2,1,e,0
136,800 ms ,297.82016,2,1,e,0
137,800 ms ,285.2864,2,1,e,0
138,800 ms ,319.28319999999997,2,1,e,0
139,800 ms ,280.53504000000004,2,1,e,0
120,800 ms ,326.77888,2,2,e,0
121,800 ms ,235.27424,2,2,e,0
122,800 ms ,231.54688000000002,2,2,e,0
123,800 ms ,255.71328,2,2,e,0
124,800 ms ,253.7472,2,2,e,0
125,800 ms ,204.63616000000002,2,2,e,0
126,800 ms ,259.56352,2,2,e,0
127,800 ms ,246.5792,2,2,e,0
128,800 ms ,264.35584,2,2,e,0
129,800 ms ,225.60768000000002,2,2,e,0
130,800 ms ,245.88288,2,2,e,0
131,800 ms ,282.62399999999997,2,2,e,0
132,800 ms ,226.83648,2,2,e,0
133,800 ms ,267.50975999999997,2,2,e,0
134,800 ms ,268.16512,2,2,e,0
135,800 ms ,214.87616,2,2,e,0
136,800 ms ,225.56672,2,2,e,0
137,800 ms ,290.73408,2,2,e,0
138,800 ms ,289.50527999999997,2,2,e,0
139,800 ms ,316.25216,2,2,e,0
1,tactor,506.7571199999998,3,1,a,1
2,tactor,477.06112000000013,3,1,a,1
3,tactor,150.65088000000003,3,1,a,1
4,tactor,300.7692799999999,3,1,a,1
5,tactor,155.89375999999987,3,1,a,1
6,tactor,131.72735999999995,3,1,a,1
7,tactor,152.49407999999985,3,1,a,1
8,tactor,176.37376000000015,3,1,a,1
9,tactor,181.86239999999998,3,1,a,1
10,tactor,119.39839999999991,3,1,a,1
11,tactor,149.83167999999992,3,1,a,1
12,tactor,172.48255999999995,3,1,a,1
13,tactor,197.95968000000008,3,1,a,1
14,tactor,166.70719999999983,3,1,a,1
15,tactor,369.41824,3,1,a,1
16,tactor,163.10272000000003,3,1,a,1
17,tactor,166.09280000000015,3,1,a,1
18,tactor,146.59584000000004,3,1,a,1
19,tactor,461.6191999999999,3,1,a,1
0,tactor,464.40448000000004,3,2,a,1
1,tactor,300.19584,3,2,a,1
2,tactor,141.59871999999996,3,2,a,1
3,tactor,236.70784,3,2,a,1
4,tactor,359.6697599999998,3,2,a,1
5,tactor,257.5564800000001,3,2,a,1
6,tactor,317.68576,3,2,a,1
7,tactor,129.10592,3,2,a,1
8,tactor,153.51808,3,2,a,1
9,tactor,120.58624000000017,3,2,a,1
10,tactor,171.13088,3,2,a,1
11,tactor,148.23424000000009,3,2,a,1
12,tactor,319.8156799999998,3,2,a,1
13,tactor,203.69407999999999,3,2,a,1
14,tactor,161.95584000000008,3,2,a,1
15,tactor,257.67936000000003,3,2,a,1
16,tactor,220.56959999999992,3,2,a,1
17,tactor,224.01024000000004,3,2,a,1
18,tactor,167.97696000000008,3,2,a,1
19,tactor,322.92864,3,2,a,1
60,100 ms ,514.82624,3,2,b,0
83,200 ms ,408.7808,3,1,c,0
88,200 ms ,466.1248,3,1,c,0
92,200 ms ,495.69792,3,1,c,0
94,200 ms ,540.99968,3,1,c,0
97,200 ms ,552.71424,3,1,c,0
80,200 ms ,441.83552,3,2,c,0
84,200 ms ,677.4374399999999,3,2,c,0
87,200 ms ,441.67168000000004,3,2,c,0
88,200 ms ,409.27232000000004,3,2,c,0
97,200 ms ,403.49696,3,2,c,0
100,400 ms ,587.1615999999999,3,1,d,0
101,400 ms ,685.5884799999999,3,1,d,0
102,400 ms ,443.88352,3,1,d,0
103,400 ms ,590.8070399999999,3,1,d,0
106,400 ms ,698.20416,3,1,d,0
108,400 ms ,502.86591999999996,3,1,d,0
110,400 ms ,525.9264000000001,3,1,d,0
111,400 ms ,606.12608,3,1,d,0
112,400 ms ,520.64256,3,1,d,0
113,400 ms ,432.25088,3,1,d,0
115,400 ms ,485.29408,3,1,d,0
116,400 ms ,598.75328,3,1,d,0
117,400 ms ,491.80672,3,1,d,0
118,400 ms ,630.9888,3,1,d,0
119,400 ms ,706.72384,3,1,d,0
100,400 ms ,456.41728,3,2,d,0
102,400 ms ,512.65536,3,2,d,0
103,400 ms ,391.49568,3,2,d,0
