,experiment,response time (ms),Subject,block,sortCol,typeOrder
88,200 ms ,231.50592,2,1,c,True
89,200 ms ,373.30944,2,1,c,True
90,200 ms ,228.02432,2,1,c,True
91,200 ms ,279.79776,2,1,c,True
92,200 ms ,277.50399999999996,2,1,c,True
93,200 ms ,298.8032,2,1,c,True
94,200 ms ,249.6512,2,1,c,True
95,200 ms ,257.84319999999997,2,1,c,True
96,200 ms ,259.23584,2,1,c,True
97,200 ms ,255.09887999999998,2,1,c,True
98,200 ms ,285.9008,2,1,c,True
99,200 ms ,250.75712,2,1,c,True
80,200 ms ,226.01728,2,2,c,True
81,200 ms ,187.71968,2,2,c,True
82,200 ms ,238.01855999999998,2,2,c,True
83,200 ms ,293.10976,2,2,c,True
84,200 ms ,271.93344,2,2,c,True
85,200 ms ,250.75712,2,2,c,True
86,200 ms ,232.93952000000002,2,2,c,True
87,200 ms ,252.10880000000003,2,2,c,True
88,200 ms ,260.83328,2,2,c,True
89,200 ms ,244.69504,2,2,c,True
90,200 ms ,313.1392,2,2,c,True
91,200 ms ,256.86016,2,2,c,True
92,200 ms ,250.42944,2,2,c,True
93,200 ms ,254.73024,2,2,c,True
94,200 ms ,235.02848,2,2,c,True
95,200 ms ,292.78208,2,2,c,True
96,200 ms ,223.80544,2,2,c,True
97,200 ms ,262.67647999999997,2,2,c,True
98,200 ms ,278.20032,2,2,c,True
99,200 ms ,259.39968000000005,2,2,c,True
100,400 ms ,258.00704,2,1,d,True
101,400 ms ,267.18208,2,1,d,True
102,400 ms ,246.37439999999998,2,1,d,True
103,400 ms ,244.08064,2,1,d,True
104,400 ms ,170.5984,2,1,d,True
105,400 ms ,232.69376,2,1,d,True
106,400 ms ,184.89344,2,1,d,True
107,400 ms ,308.224,2,1,d,True
108,400 ms ,287.90784,2,1,d,True
109,400 ms ,246.49728000000002,2,1,d,True
110,400 ms ,260.01408,2,1,d,True
111,400 ms ,311.33696,2,1,d,True
112,400 ms ,251.86303999999998,2,1,d,True
113,400 ms ,239.8208,2,1,d,True
114,400 ms ,381.25568,2,1,d,True
115,400 ms ,307.2,2,1,d,True
116,400 ms ,269.39392000000004,2,1,d,True
117,400 ms ,285.16352,2,1,d,True
118,400 ms ,289.50527999999997,2,1,d,True
119,400 ms ,214.26176,2,1,d,True
100,400 ms ,210.98496,2,2,d,True
101,400 ms ,256.36863999999997,2,2,d,True
102,400 ms ,236.87168,2,2,d,True
103,400 ms ,270.58176000000003,2,2,d,True
104,400 ms ,274.39104,2,2,d,True
105,400 ms ,296.01792,2,2,d,True
106,400 ms ,293.23264,2,2,d,True
107,400 ms ,264.64256,2,2,d,True
108,400 ms ,251.45343999999997,2,2,d,True
109,400 ms ,247.02975999999998,2,2,d,True
110,400 ms ,225.32095999999999,2,2,d,True
111,400 ms ,265.87136,2,2,d,True
112,400 ms ,349.5936,2,2,d,True
113,400 ms ,287.82592,2,2,d,True
114,400 ms ,314.90047999999996,2,2,d,True
115,400 ms ,240.10752,2,2,d,True
116,400 ms ,281.31328,2,2,d,True
117,400 ms ,355.20511999999997,2,2,d,True
118,400 ms ,250.63424,2,2,d,True
119,400 ms ,248.0128,2,2,d,True
120,800 ms ,318.6688,2,1,e,True
121,800 ms ,403.98848,2,1,e,True
122,800 ms ,198.41024,2,1,e,True
123,800 ms ,295.60832,2,1,e,True
124,800 ms ,218.15296,2,1,e,True
125,800 ms ,179.97824,2,1,e,True
126,800 ms ,489.2672,2,1,e,True
127,800 ms ,297.90208,2,1,e,True
128,800 ms ,241.29536,2,1,e,True
129,800 ms ,316.74368000000004,2,1,e,True
130,800 ms ,271.1552,2,1,e,True
131,800 ms ,291.59424,2,1,e,True
132,800 ms ,211.31264,2,1,e,True
133,800 ms ,263.33184,2,1,e,True
134,800 ms ,253.91103999999999,2,1,e,True
135,800 ms ,272.17920000000004,2,1,e,True
136,800 ms ,297.82016,2,1,e,True
137,800 ms ,285.2864,2,1,e,True
138,800 ms ,319.28319999999997,2,1,e,True
139,800 ms ,280.53504000000004,2,1,e,True
120,800 ms ,326.77888,2,2,e,True
121,800 ms ,235.27424,2,2,e,True
122,800 ms ,231.54688000000002,2,2,e,True
123,800 ms ,255.71328,2,2,e,True
124,800 ms ,253.7472,2,2,e,True
125,800 ms ,204.63616000000002,2,2,e,True
126,800 ms ,259.56352,2,2,e,True
127,800 ms ,246.5792,2,2,e,True
128,800 ms ,264.35584,2,2,e,True
129,800 ms ,225.60768000000002,2,2,e,True
130,800 ms ,245.88288,2,2,e,True
131,800 ms ,282.62399999999997,2,2,e,True
132,800 ms ,226.83648,2,2,e,True
133,800 ms ,267.50975999999997,2,2,e,True
134,800 ms ,268.16512,2,2,e,True
135,800 ms ,214.87616,2,2,e,True
136,800 ms ,225.56672,2,2,e,True
137,800 ms ,290.73408,2,2,e,True
138,800 ms ,289.50527999999997,2,2,e,True
139,800 ms ,316.25216,2,2,e,True
1,touch,507.7971199999998,3,1,a,False
2,touch,478.10112000000015,3,1,a,False
3,touch,151.69088000000008,3,1,a,False
4,touch,301.80927999999983,3,1,a,False
5,touch,156.9337599999998,3,1,a,False
7,touch,153.5340799999998,3,1,a,False
8,touch,177.41376000000008,3,1,a,False
9,touch,182.90239999999991,3,1,a,False
11,touch,150.87167999999986,3,1,a,False
12,touch,173.52255999999988,3,1,a,False
13,touch,198.99968,3,1,a,False
14,touch,167.74719999999976,3,1,a,False
